ID,EDAD,ID_ATLETA,ID_RESULTADO,ID_PAIS_REPRESENTA
1,26,1,1,1
2,26,1,2,1
3,34,1,3,1
4,34,1,4,1
5,34,1,5,1
6,27,2,6,1
7,27,2,7,1
8,26,3,8,1
9,26,3,9,1
10,26,3,10,1
11,25,4,11,1
12,25,4,5,1
13,29,4,12,1
14,34,5,1,1
15,34,5,13,1
16,34,5,14,1
17,22,6,15,1
18,22,6,16,1
19,23,7,16,1
20,27,7,17,1
21,27,7,18,1
22,31,7,19,1
23,35,7,20,1
24,39,7,21,1
25,23,8,22,1
26,23,8,23,1
27,23,8,12,1
28,28,9,24,1
29,32,10,25,1
30,32,10,26,1
31,32,10,27,1
32,26,11,28,1
33,26,11,29,1
34,26,11,30,1
35,26,11,31,1
36,26,11,32,1
37,26,11,33,1
38,18,12,34,1
39,18,12,35,1
40,18,12,36,1
41,24,12,37,1
42,24,12,38,1
43,24,12,39,1
44,26,12,40,1
45,26,12,41,1
46,30,12,42,1
47,30,12,43,1
48,38,12,44,1
49,38,12,45,1
50,38,12,46,1
51,,13,47,1
52,,13,48,1
53,,14,49,1
54,,14,50,1
55,,14,51,1
56,,14,27,1
57,23,15,52,1
58,27,15,53,1
59,31,15,54,1
60,31,15,55,1
61,39,15,56,1
62,27,16,50,1
63,27,16,27,1
64,19,17,57,1
65,23,17,58,1
66,23,17,59,1
67,27,17,60,1
68,27,17,61,1
69,20,18,62,1
70,20,18,63,1
71,24,18,64,1
72,24,18,52,1
73,28,18,65,1
74,28,18,53,1
75,32,18,66,1
76,32,18,19,1
77,18,19,67,1
78,18,19,51,1
79,18,19,68,1
80,24,19,69,1
81,24,19,39,1
82,26,19,70,1
83,26,19,41,1
84,30,19,71,1
85,30,19,72,1
86,22,20,73,1
87,22,20,72,1
88,20,21,4,1
89,20,22,74,1
90,20,22,10,1
91,31,23,75,1
92,31,23,2,1
93,39,23,76,1
94,25,24,49,1
95,25,24,50,1
96,25,24,51,1
97,25,24,27,1
98,37,25,77,1
99,37,25,50,1
100,37,25,26,1
101,37,25,27,1
102,25,26,78,1
103,25,26,59,1
104,29,26,60,1
105,29,26,61,1
106,23,27,18,1
107,27,27,54,1
108,27,27,55,1
109,35,27,21,1
110,,28,50,1
111,,28,51,1
112,,28,79,1
113,,28,80,1
114,,28,81,1
115,,28,82,1
116,,28,83,1
117,,29,49,1
118,,29,84,1
119,30,30,85,1
120,30,30,14,1
121,25,31,49,1
122,25,31,25,1
123,25,31,86,1
124,25,31,87,1
125,25,31,79,1
126,26,32,88,1
127,26,32,7,1
128,24,33,89,1
129,21,34,75,1
130,21,34,2,1
131,29,34,44,1
132,29,34,76,1
133,20,35,90,1
134,28,35,91,1
135,32,35,92,1
136,32,35,93,1
137,29,36,94,1
138,23,37,95,1
139,23,37,96,1
140,23,37,51,1
141,23,37,68,1
142,31,38,97,2
143,31,38,98,2
144,37,39,99,2
145,37,39,4,2
146,37,39,100,2
147,27,40,101,2
148,27,40,102,2
149,25,41,103,2
150,29,41,104,2
151,29,41,105,2
152,31,42,103,2
153,32,43,102,2
154,22,44,106,2
155,30,45,107,2
156,30,45,108,2
157,30,45,96,2
158,30,45,109,2
159,38,45,110,2
160,29,46,111,2
161,29,46,112,2
162,29,46,113,2
163,25,47,114,2
164,24,48,115,2
165,24,48,116,2
166,28,48,117,2
167,30,49,118,2
168,28,50,119,2
169,29,51,120,2
170,29,51,121,2
