ID,NOMBRE,ID_DISCIPLINA
1,"Singles, Men (Olympic)",1
2,"Doubles, Men (Olympic)",2
3,"Doubles, Mixed (Olympic)",2
4,"Singles, Men (Olympic)",3
5,"Doubles, Men (Olympic)",4
6,"Singles, Handicap, Men (Olympic (non-medal))",5
7,"Doubles, Handicap, Men (Olympic (non-medal))",6
8,"Épée, Individual, Men (Olympic)",7
9,Tennis,8
10,"Doubles, Men (Olympic)",9
11,"Doubles, Handicap, Mixed (Olympic (non-medal))",10
12,"Singles, Handicap, Men (Olympic (non-medal))",11
13,"Doubles, Handicap, Men (Olympic (non-medal))",10
14,"Singles, Men (Intercalated)",1
15,"Doubles, Mixed (Intercalated)",2
16,"Doubles, Men (Intercalated)",2
17,"Doubles, Covered Courts, Mixed (Olympic)",12
18,"Singles, Covered Courts, Men (Olympic)",13
19,"Singles, Men (Olympic (non-medal))",1
20,"Doubles, Handicap, Mixed (Olympic (non-medal))",6
21,"Doubles, Covered Courts, Men (Olympic)",12
22,Polo,14
23,"Polo, Men (Olympic (non-medal))",14
24,"Singles, Men (Olympic)",15
25,"Singles, Covered Courts, Women (Olympic)",13
26,"Singles, Women (Olympic)",1
27,"Doubles, Women (Olympic)",2
28,"Doubles, Women (Olympic)",16
29,"Doubles, Mixed (Olympic)",16
30,"Singles, Handicap, Women (Olympic (non-medal))",5
31,"Singles, Women (Olympic)",3
32,"Doubles, Women (Olympic)",4
33,"Singles, Women (Olympic)",15
34,"Doubles, Men (Olympic)",16
35,"Singles, Men (Olympic (non-medal))",15
36,"Singles, Women (Olympic (non-medal))",1
37,"Team, Women (Olympic)",17
38,"Doubles, Men (Olympic (non-medal))",2
39,"Hockey, Men (Olympic)",18
40,Tennis,19
41,"Singles, Men (Olympic)",20
42,"Doubles, Men (Olympic)",21
43,"100 metres, Men (Olympic)",22
44,"400 metres, Men (Olympic)",23
45,"800 metres, Men (Olympic)",24
46,"110 metres Hurdles, Men (Olympic)",25
47,"High Jump, Men (Olympic)",26
48,"Pole Vault, Men (Olympic)",27
49,"Long Jump, Men (Olympic)",28
50,"Triple Jump, Men (Olympic)",29
51,Tennis,30
52,"Singles, Men (Olympic)",31
53,"Doubles, Men (Olympic)",32
54,"Team, Men (Olympic)",17
55,Swimming (Aquatics),33
56,"100 metres Freestyle, Men (Olympic)",34
57,"500 metres Freestyle, Men (Olympic)",35
58,"1,200 metres Freestyle, Men (Olympic)",36
59,"Architecture, Open (Olympic)",37
60,Weightlifting,38
61,"Unlimited, Two Hands, Men (Olympic)",39
62,Wrestling,40
63,"Unlimited Class, Greco-Roman, Men (Olympic)",41
64,Athletics,42
65,"Pole Vault, Men (Olympic)",43
66,"Long Jump, Men (Olympic)",44
67,"Shot Put, Men (Olympic)",45
68,"Individual, Men (Olympic)",46
69,"Team, Men (Olympic)",47
70,"Individual, Men (Olympic)",48
71,"Individual, Women (Olympic)",48
72,"Team, Women (Olympic)",49
73,"Team, Men (Olympic)",49
74,"Target Archery, 28 metres, Team, Men (Olympic)",50
75,"Target Archery, 33 metres, Team, Men (Olympic)",51
76,"Target Archery, 50 metres, Team, Men (Olympic)",52
77,"Pole Archery, Small Birds, Individual, Men (Olympic)",53
78,"Pole Archery, Large Birds, Individual, Men (Olympic)",54
79,"Pole Archery, Small Birds, Team, Men (Olympic)",55
80,"Pole Archery, Large Birds, Team, Men (Olympic)",56
81,"Sur La Perche À La Herse, Men (Olympic)",57
82,"Au Chapelet, 33 metres, Men (Olympic)",58
83,"Au Chapelet, 50 metres, Men (Olympic)",59
84,"Au Cordon Doré, 33 metres, Men (Olympic)",60
85,"Au Cordon Doré, 50 metres, Men (Olympic)",61
86,"Championnat Du Monde, Men (Olympic)",62
87,"Target Archery, 28 metres, Individual, Men (Olympic)",63
88,"Target Archery, 33 metres, Individual, Men (Olympic)",64
89,"Target Archery, 50 metres, Individual, Men (Olympic)",65
90,"Continental Style, Men (Olympic)",66
91,"Double York Round, Men (Olympic)",67
92,"Sur La Perche À La Pyramide, Men (Olympic)",68
93,"French Championship, Individual, Men (Olympic (non-medal))",69
94,"Double National Round, Women (Olympic)",70
95,"1,500 metres, Men (Olympic)",71
96,"Marathon, Men (Olympic)",72
97,"Doubles, Women (Olympic (non-medal))",16
98,"Doubles, Men (Olympic (non-medal))",16
99,"Singles, Women (Olympic (non-medal))",15
100,"Doubles, Mixed (Olympic (non-medal))",16
101,"Welterweight, Men (Olympic)",73
102,"Light-Heavyweight, Men (Olympic)",74
103,"Featherweight, Men (Olympic)",75
104,"Light-Welterweight, Men (Olympic)",76
105,"Flyweight, Men (Olympic)",77
106,"Lightweight, Men (Olympic)",78
107,"Heavyweight, Men (Olympic)",79
108,"Bantamweight, Men (Olympic)",80
109,"Light-Flyweight, Men (Olympic)",81
110,"Middleweight, Men (Olympic)",82
111,"Light-Middleweight, Men (Olympic)",83
112,"Super-Heavyweight, Men (Olympic)",84
113,"Softball, Women (Olympic)",85
114,"Baseball, Men (Olympic)",86
115,"Baseball, Men (Olympic (non-medal))",86
116,"Team, Mixed (Olympic)",49
117,"Double Columbia Round, Women (Olympic)",87
118,"Team Round, Women (Olympic)",88
119,"Flight Shooting, Women (Olympic (non-medal))",89
120,"Double American Round, Men (Olympic)",90
121,"Team Round, Men (Olympic)",88
122,"Flight Shooting, Men (Olympic (non-medal))",89
123,"8 metres, Open (Olympic)",91
124,Tennis,92
125,"Singles, Men (Olympic)",93
