ID,NOMBRE,BORN_DATE,DIED_DATE,ALTURA,PESO,SEXO,ID_CITY_NACIMIENTO
1,Jean-François Blanchy,1886-12-12,1960-10-02,,,M,6326
2,Arnaud Boetsch,1969-04-01,,183.0,76.0,M,21661
3,Jean Borotra,1898-08-13,1994-07-17,183.0,76.0,M,15678
4,Jacques Brugnon,1895-05-11,1978-03-20,168.0,64.0,M,14627
5,Albert Canet,1878-04-17,1930-07-25,,,M,4630
6,Nicolas Chatelain,1970-01-13,,181.0,70.0,M,18054
7,Patrick Chila,1969-11-27,,180.0,73.0,M,5580
8,Henri Cochet,1901-12-14,1987-04-02,,,M,16342
9,Marcel Cousin,1896-08-04,1986-08-01,,,M,6090
10,Guy de la Chapelle,1868-07-16,1923-08-27,,,M,3295
11,"Élie, Comte de Lastours",1874-08-12,1932-11-18,,,M,21652
12,Max Decugis,1882-09-24,1978-09-06,,,M,14632
13,J. Defert,,,,,M,
14,Étienne Durand,,,,,M,
15,Damien Éloi,1969-07-04,,165.0,58.0,M,3020
16,Adrien Fauchier-Magnan,1873-11-19,1965-08-06,,,M,14627
17,Guy Forget,1965-01-04,,189.0,79.0,M,3110
18,Jean-Philippe Gatien,1968-10-16,,178.0,73.0,M,6088
19,Maurice Germot,1882-11-15,1958-08-06,,,M,406
20,André Gobert,1890-09-30,1951-12-06,,,M,14636
21,Pierre Hirsch,1900-11-08,1942-04-19,,,,14630
22,René Lacoste,1904-07-02,1996-10-12,,,M,14640
23,Daniel Lawton,1881-11-27,1979-03-27,,,M,6337
24,Paul Lebreton,1875-10-19,1960-03-31,,,M,14638
25,Paul Lecaron,1863-07-29,1940-09-17,,,M,7146
26,Henri Leconte,1963-07-04,,184.0,78.0,M,14691
27,Christophe Legoût,1973-08-06,,177.0,75.0,M,4315
28,"Guy, Baron Lejeune",,,,,M,
29,Albert Lippmann,,,,,M,
30,Édouard Mény de Marangue,1882-11-30,1960-01-23,,,M,14634
31,André Prévost,1875-02-28,1951-11-22,,,M,14627
32,Guillaume Raoux,1970-02-14,,180.0,77.0,M,6092
33,Stéphane Renault,1968-03-01,,180.0,72.0,M,10697
34,Jean-Pierre Samazeuilh,1891-01-17,1965-04-13,,,M,6326
35,Fabrice Santoro,1972-12-09,,177.0,68.0,M,22074
36,Étienne Thobois,1967-09-20,,186.0,78.0,M,18054
37,Pierre Verdé-Delisle,1877-05-16,1960-07-18,,,M,13899
38,Helen Aitchison,1881-12-06,1947-05-26,,,F,4713
39,Geraldine Beamish,1883-06-23,1972-05-10,,,F,4876
40,Dora Boothby,1881-08-02,1970-02-22,,,F,4961
41,Julie Bradbury,1967-02-12,,175.0,64.0,F,4561
42,Gillian Clark,1961-09-02,,176.0,68.0,F,1281
43,Mildred Coles,1876-04-09,1937-02-24,,,F,2442
44,Evelyn Colyer,1902-08-16,1930-11-04,,,F,4630
45,Charlotte Cooper,1870-09-22,1966-10-10,,,F,4972
46,Phyllis Covell,1895-05-22,1982-10-28,,,F,4581
47,Gladys Eastlake-Smith,1883-08-14,1941-09-18,,,F,4646
48,Sara Gomer,1964-05-13,,190.0,85.0,F,4997
49,Alison Gordon,1962-12-31,,175.0,68.0,F,4588
50,Gillian Gowers,1964-04-09,,157.0,55.0,F,
51,Alice Greene,1879-10-15,1956-10-26,,,F,5125
52,Edith Hannam,1878-11-28,1951-01-16,,,F,3678
53,Dorothy Holman,1883-07-18,1968-06-15,,,F,5458
54,Andrea Holt,1970-11-11,,168.0,64.0,F,4780
55,Monique Javer,1967-07-22,,177.0,64.0,F,2881
56,Valda Lake,1968-10-11,,173.0,61.0,F,4997
57,Dorothy Lambert Chambers,1878-09-03,1960-01-07,,,F,4972
58,Lisa Lomas,1967-03-09,,168.0,63.0,F,5485
59,Kitty McKane,1896-05-07,1992-06-19,,,F,5486
60,Winifred McNair,1877-08-09,1954-03-28,,,F,5488
61,Kelly Morgan,1975-05-22,,178.0,65.0,F,21096
62,Agatha Morton,1872-03-06,1952-04-05,,,F,5489
63,Jo Muggeridge,1969-04-03,,157.0,59.0,F,4526
64,Mabel Parton,1881-07-22,1962-08-12,,,F,4526
65,Violet Pinckney,1871-03-11,1955-03-13,,,F,5491
66,Sara Sankey,1967-09-29,,170.0,68.0,F,4657
67,Phyllis Satterthwaite,1886-01-26,1962-01-20,,,F,4529
68,Dorothy Shepherd-Barron,1897-11-24,1953-02-20,,,F,5495
69,Sam Smith,1971-11-27,,175.0,62.0,F,4814
70,Helen Troke,1964-11-07,,172.0,63.0,F,4554
71,Ruth Winch,1870-08-25,1952-01-09,,,F,5298
72,Clare Wood,1968-03-08,,175.0,65.0,F,9538
73,Joanne Wright-Goode,1972-11-17,,171.0,68.0,F,5049
74,Sky Andrew,1962-03-31,,185.0,78.0,M,5009
75,Simon Archer,1973-06-27,,189.0,86.0,M,4756
76,Roper Barrett,1873-11-24,1943-07-27,,,M,5125
77,Jeremy Bates,1962-06-19,,180.0,72.0,M,4614
78,Alfred Beamish,1879-08-06,1944-02-28,,,M,2435
79,John Pius Boland,1870-09-16,1958-03-17,,,M,4371
80,Neil Broad,1966-11-20,,191.0,87.0,M,21378
81,George Caridia,1869-02-20,1937-04-21,,,M,21250
82,Andrew Castle,1963-11-15,,190.0,74.0,M,4594
83,Clement Cazalet,1869-07-16,1950-03-23,,,M,
84,Xinhua Chen,1960-01-30,,175.0,71.0,M,5943
85,Alan Cooke,1966-03-23,,170.0,64.0,M,5497
86,Walter Crawley,1880-03-29,1940-10-11,,,M,5498
87,Charles Dixon,1873-02-07,1939-04-29,,,M,4793
88,Laurie Doherty,1875-10-08,1919-08-21,178.0,,M,4764
89,Reggie Doherty,1872-10-14,1910-12-29,,,M,4764
90,Desmond Douglas,1955-07-20,,175.0,66.0,M,9150
91,Wilberforce Eaves,1867-12-10,1920-02-10,,,M,5823
92,Lionel Escombe,1876-01-01,1914-10-15,,,M,9523
93,Anne Gibson,1968-10-26,,173.0,70.0,F,17467
94,Brian Gilbert,1887-07-17,1974-07-28,,,M,4745
95,Leslie Godfree,1885-04-27,1971-11-17,,,M,4534
96,Andy Goode,1960-01-30,,183.0,83.0,M,4685
97,Arthur Wentworth Gore,1868-01-02,1928-12-01,,,M,4873
98,Darren Hall,1965-10-25,,183.0,73.0,M,4680
99,Tim Henman,1974-09-06,,185.0,77.0,M,4561
100,George Hillyard,1864-02-06,1943-03-24,,,M,5493
101,Chris Hunt,1968-12-01,,182.0,88.0,M,4647
102,Algernon Kingscote,1888-02-03,1964-12-21,,,M,8836
103,Peter Knowles,1969-12-28,,177.0,77.0,M,4848
104,Arthur Lowe,1886-01-29,1958-10-22,,,M,
105,Gordon Lowe,1884-06-21,1972-05-17,,,M,
106,Harold Mahony,1867-02-13,1905-06-27,191.0,,M,3227
107,Theodore Mavrogordato,1883-07-31,1941-08-24,,,M,5051
108,Anders Nielsen,1967-02-24,2010-07-29,173.0,70.0,M,21378
109,Arthur Norris,,,,,M,
110,James Parke,1881-07-26,1946-02-27,,,M,11773
111,Nick Ponting,1966-09-13,,173.0,76.0,M,4526
112,Carl Prean,1967-08-20,,185.0,79.0,M,5011
113,Josiah Ritchie,1870-10-18,1955-02-28,,,M,2813
114,Julian Robertson,1969-10-09,,182.0,73.0,M,4737
115,Greg Rusedski,1973-09-06,,190.0,88.0,M,15834
116,George Simond,1867-01-23,1941-04-08,,,M,4583
117,Matthew Syed,1970-11-02,,175.0,70.0,M,4629
118,Noel Turnbull,1890-12-20,1970-12-17,,,M,5442
119,Archibald Warden,1869-05-11,1943-10-07,,,M,3227
120,Patrick Wheatley,1899-01-20,1967-11-05,,,M,9528
121,Chris Wilkinson,1970-01-05,,180.0,72.0,M,4554
122,Max Woosnam,1892-09-06,1965-07-14,,,M,4596
123,Dave Wright,1965-04-10,,175.0,77.0,M,5472
124,Steffi Graf,1969-06-14,,175.0,59.0,F,1136
125,Sylvia Hanika,1959-11-30,,173.0,64.0,F,1744
126,Anke Huber,1974-02-04,,173.0,58.0,F,1194
127,Claudia Kohde-Kilsch,1963-12-11,,184.0,68.0,F,16612
128,Dora Köring,1880-07-11,1945-02-13,,,F,16631
129,Olga Nemes,1968-06-09,,163.0,53.0,F,12019
130,Katja Nolten,1970-02-16,,175.0,66.0,F,13413
131,Barbara Rittner,1973-04-25,,173.0,65.0,F,13375
132,Elke Schall-Wosik,1973-07-19,,180.0,68.0,F,16277
133,Katrin Schmidt,1967-09-28,,180.0,80.0,F,12867
134,Jie Schöpp,1968-01-25,,174.0,63.0,F,7188
135,Karen Stechmann,1971-09-15,,169.0,59.0,F,12860
136,Nicole Struse,1971-05-31,,170.0,62.0,F,13340
137,Kerstin Ubben,1968-09-04,,165.0,59.0,F,854
138,Boris Becker,1967-11-22,,192.0,85.0,M,1263
139,Georg Böhm,1962-04-17,,174.0,73.0,M,1993
140,Steffen Fetzner,1968-08-17,,170.0,60.0,M,1151
141,Peter Franz,1971-04-25,,186.0,74.0,M,12878
142,Stefan Frey,1959-05-16,,178.0,82.0,M,16276
143,Otto Froitzheim,1884-04-24,1962-10-27,,,M,1481
144,Marc-Kevin Goellner,1970-09-22,,196.0,85.0,M,16414
145,Hugo Hardy,1877-08-11,1936-10-08,,,M,6940
146,Michael Helber,1970-10-04,,185.0,72.0,M,13326
147,Luis Maria Heyden,1893-11-27,1951-12-09,,,M,6939
148,Eric Jelen,1965-03-11,,184.0,77.0,M,16272
149,Michael Keck,1969-02-08,,186.0,78.0,M,1550
150,Oskar Kreuzer,1887-06-14,1968-05-01,,,M,7266
151,Stephan Kuhl,1968-03-27,,180.0,79.0,M,13317
