ID,TIED,PLACE,STATE,ID_MEDALLA,ID_OLIMPIADA,ID_EVENTO
1,True,17.0,COMPLETED,1,1,1
2,False,,DNS,1,1,2
3,True,32.0,COMPLETED,1,2,1
4,True,8.0,COMPLETED,1,2,3
5,False,4.0,COMPLETED,1,2,2
6,True,17.0,COMPLETED,1,3,1
7,True,17.0,COMPLETED,1,3,2
8,False,4.0,COMPLETED,1,4,1
9,True,15.0,COMPLETED,1,4,3
10,False,3.0,COMPLETED,2,4,2
11,True,9.0,COMPLETED,1,2,1
12,False,2.0,COMPLETED,3,4,2
13,False,3.0,COMPLETED,2,1,3
14,False,3.0,COMPLETED,2,1,2
15,True,33.0,COMPLETED,1,5,4
16,True,17.0,COMPLETED,1,5,5
17,True,9.0,COMPLETED,1,3,4
18,True,9.0,COMPLETED,1,3,5
19,False,3.0,COMPLETED,2,6,5
20,True,17.0,COMPLETED,1,7,4
21,True,49.0,COMPLETED,1,8,4
22,False,2.0,COMPLETED,3,4,1
23,False,,DNS,1,4,3
24,True,17.0,COMPLETED,1,4,1
25,True,3.0,COMPLETED,2,9,2
26,True,5.0,COMPLETED,1,9,6
27,True,3.0,COMPLETED,1,9,7
28,False,1.0,COMPLETED,1,9,8
29,False,,COMPLETED,1,9,9
30,True,5.0,COMPLETED,1,9,10
31,True,5.0,COMPLETED,1,9,11
32,True,17.0,COMPLETED,1,9,12
33,True,5.0,COMPLETED,1,9,13
34,False,,DNS,1,9,1
35,False,2.0,COMPLETED,3,9,2
36,False,1.0,COMPLETED,1,9,7
37,False,1.0,COMPLETED,4,10,14
38,False,1.0,COMPLETED,4,10,15
39,False,1.0,COMPLETED,4,10,16
40,False,,DNS,1,11,1
41,False,,DNS,1,11,2
42,False,,DNS,1,1,17
43,False,,DNS,1,1,18
44,True,17.0,COMPLETED,1,2,1
45,False,1.0,COMPLETED,4,2,3
46,False,3.0,COMPLETED,2,2,2
47,True,8.0,COMPLETED,1,12,1
48,False,,DNS,1,12,2
49,True,8.0,COMPLETED,1,9,1
50,True,5.0,COMPLETED,1,9,2
51,True,9.0,COMPLETED,1,9,6
52,True,5.0,COMPLETED,1,5,5
53,True,5.0,COMPLETED,1,3,5
54,True,9.0,COMPLETED,1,6,4
55,True,5.0,COMPLETED,1,6,5
56,True,33.0,COMPLETED,1,8,4
57,True,5.0,COMPLETED,1,13,19
58,True,9.0,COMPLETED,1,14,1
59,True,5.0,COMPLETED,1,14,2
60,True,17.0,COMPLETED,1,5,1
61,True,9.0,COMPLETED,1,5,2
62,True,33.0,COMPLETED,1,14,4
63,True,17.0,COMPLETED,1,14,5
64,False,2.0,COMPLETED,3,5,4
65,True,17.0,COMPLETED,1,3,4
66,True,17.0,COMPLETED,1,6,4
67,False,2.0,COMPLETED,1,9,20
68,False,2.0,COMPLETED,1,9,7
69,False,2.0,COMPLETED,3,10,14
70,True,5.0,COMPLETED,1,11,1
71,True,9.0,COMPLETED,1,1,18
72,False,1.0,COMPLETED,4,1,21
73,False,1.0,COMPLETED,4,1,18
74,True,5.0,COMPLETED,1,4,1
75,False,,DNS,1,1,1
76,True,9.0,COMPLETED,1,2,2
77,True,5.0,COMPLETED,1,9,1
78,True,17.0,COMPLETED,1,14,1
79,True,5.0,COMPLETED,1,9,7
80,False,,COMPLETED,1,9,22
81,False,2.0,COMPLETED,1,9,23
82,True,3.0,COMPLETED,1,9,23
83,False,3.0,COMPLETED,1,9,23
84,False,,DNS,1,9,6
85,True,31.0,COMPLETED,1,1,1
86,False,1.0,COMPLETED,1,9,20
87,False,1.0,COMPLETED,1,9,6
88,True,33.0,COMPLETED,1,3,1
89,True,33.0,COMPLETED,1,5,24
90,True,5.0,COMPLETED,1,5,1
91,True,9.0,COMPLETED,1,6,1
92,True,17.0,COMPLETED,1,7,1
93,True,5.0,COMPLETED,1,7,2
94,True,33.0,COMPLETED,1,3,24
95,True,5.0,COMPLETED,1,9,3
96,True,5.0,COMPLETED,1,9,20
97,False,2.0,COMPLETED,3,1,17
