ID,EDAD,ID_ATLETA,ID_RESULTADO,ID_PAIS_REPRESENTA
1,26,1,1,72
2,26,1,2,72
3,34,1,3,72
4,34,1,4,72
5,34,1,5,72
6,27,2,6,72
7,27,2,7,72
8,26,3,8,72
9,26,3,9,72
10,26,3,10,72
11,25,4,11,72
12,25,4,5,72
13,29,4,12,72
14,34,5,1,72
15,34,5,13,72
16,34,5,14,72
17,22,6,15,72
18,22,6,16,72
19,23,7,16,72
20,27,7,17,72
21,27,7,18,72
22,31,7,19,72
23,35,7,20,72
24,39,7,21,72
25,23,8,22,72
26,23,8,23,72
27,23,8,12,72
28,28,9,24,72
29,32,10,25,72
30,32,10,26,72
31,32,10,27,72
32,26,11,28,72
33,26,11,29,72
34,26,11,30,72
35,26,11,31,72
36,26,11,32,72
37,26,11,33,72
38,18,12,34,72
39,18,12,35,72
40,18,12,36,72
41,24,12,37,72
42,24,12,38,72
43,24,12,39,72
44,26,12,40,72
45,26,12,41,72
46,30,12,42,72
47,30,12,43,72
48,38,12,44,72
49,38,12,45,72
50,38,12,46,72
51,,13,47,72
52,,13,48,72
53,,14,49,72
54,,14,50,72
55,,14,51,72
56,,14,27,72
57,23,15,52,72
58,27,15,53,72
59,31,15,54,72
60,31,15,55,72
61,39,15,56,72
62,27,16,50,72
63,27,16,27,72
64,19,17,57,72
65,23,17,58,72
66,23,17,59,72
67,27,17,60,72
68,27,17,61,72
69,20,18,62,72
70,20,18,63,72
71,24,18,64,72
72,24,18,52,72
73,28,18,65,72
74,28,18,53,72
75,32,18,66,72
76,32,18,19,72
77,18,19,67,72
78,18,19,51,72
79,18,19,68,72
80,24,19,69,72
81,24,19,39,72
82,26,19,70,72
83,26,19,41,72
84,30,19,71,72
85,30,19,72,72
86,22,20,73,72
87,22,20,72,72
88,20,21,4,72
89,20,22,74,72
90,20,22,10,72
91,31,23,75,72
92,31,23,2,72
93,39,23,76,72
94,25,24,49,72
95,25,24,50,72
96,25,24,51,72
97,25,24,27,72
98,37,25,77,72
99,37,25,50,72
100,37,25,26,72
101,37,25,27,72
102,25,26,78,72
103,25,26,59,72
104,29,26,60,72
105,29,26,61,72
106,23,27,18,72
107,27,27,54,72
108,27,27,55,72
109,35,27,21,72
110,,28,50,72
111,,28,51,72
112,,28,79,72
113,,28,80,72
114,,28,81,72
115,,28,82,72
116,,28,83,72
117,,29,49,72
118,,29,84,72
119,30,30,85,72
120,30,30,14,72
121,25,31,49,72
122,25,31,25,72
123,25,31,86,72
124,25,31,87,72
125,25,31,79,72
126,26,32,88,72
127,26,32,7,72
128,24,33,89,72
129,21,34,75,72
130,21,34,2,72
131,29,34,44,72
132,29,34,76,72
133,20,35,90,72
134,28,35,91,72
135,32,35,92,72
136,32,35,93,72
137,29,36,94,72
138,23,37,95,72
139,23,37,96,72
140,23,37,51,72
141,23,37,68,72
142,31,38,97,77
143,31,38,98,77
144,37,39,99,77
145,37,39,4,77
146,37,39,100,77
147,27,40,101,77
148,27,40,102,77
149,25,41,103,77
150,29,41,104,77
151,29,41,105,77
152,31,42,103,77
153,32,43,102,77
154,22,44,106,77
155,30,45,107,77
156,30,45,108,77
157,30,45,96,77
158,30,45,109,77
159,38,45,110,77
160,29,46,111,77
161,29,46,112,77
162,29,46,113,77
163,25,47,114,77
164,24,48,115,77
165,24,48,116,77
166,28,48,117,77
167,30,49,118,77
168,28,50,119,77
169,29,51,120,77
170,29,51,121,77
171,34,52,122,77
172,34,52,123,77
173,37,53,124,77
174,37,53,125,77
175,37,53,100,77
176,22,54,126,77
177,26,54,127,77
178,25,55,117,77
179,28,56,128,77
180,30,57,129,77
181,30,57,130,77
182,25,58,131,77
183,25,58,126,77
