ID,NOMBRE
1,Tennis
2,Table Tennis
3,Fencing
4,Badminton
5,Hockey
6,Athletics
7,Art Competitions
8,Modern Pentathlon
9,Archery
10,Boxing
11,Softball (Baseball/Softball)
12,Baseball (Baseball/Softball)
13,Sailing
14,Golf
15,Jeu De Paume
16,Basketball (Basketball)
17,Cycling Road (Cycling)
18,Handball
19,Australian Rules Football
20,Bobsleigh (Bobsleigh)
21,Canoe Sprint (Canoeing)
22,Canoe Slalom (Canoeing)
23,Canoe Marathon (Canoeing)
24,Shooting
25,Rowing
26,Cycling Track (Cycling)
27,Polo
28,Rugby (Rugby)
29,Equestrian Dressage (Equestrian)
30,Equestrian Eventing (Equestrian)
31,Equestrian Jumping (Equestrian)
32,Tug-Of-War
33,Lacrosse
34,Diving (Aquatics)
35,Winter Pentathlon
36,Equestrian Vaulting (Equestrian)
37,Equestrian Driving (Equestrian)
38,Cycling Mountain Bike (Cycling)
39,Speed Skating (Skating)
40,Football (Football)
41,Bicycle Polo (Cycling)
42,Cross Country Skiing (Skiing)
43,Racquets
44,Cricket
45,Croquet
46,Motorboating
47,Swimming (Aquatics)
48,Ice Hockey (Ice Hockey)
49,Bandy
50,Artistic Gymnastics (Gymnastics)
51,Rhythmic Gymnastics (Gymnastics)
52,Weightlifting
53,Wrestling
54,Alpine Skiing (Skiing)
55,Judo
56,Military Ski Patrol (Skiing)
57,Nordic Combined (Skiing)
58,Water Polo (Aquatics)
59,Savate
60,Skeleton (Bobsleigh)
61,Artistic Swimming (Aquatics)
62,Triathlon
63,Beach Volleyball (Volleyball)
64,Volleyball (Volleyball)
65,Glíma
66,Biathlon
67,Figure Skating (Skating)
68,Basque pelota
69,Luge
70,Short Track Speed Skating (Skating)
71,Freestyle Skiing (Skiing)
72,Speed Skiing (Skiing)
73,Ski Jumping (Skiing)
74,Cycling BMX Racing (Cycling)
75,Trampolining (Gymnastics)
76,Marathon Swimming (Aquatics)
77,Taekwondo
78,Snowboarding (Skiing)
79,Curling
80,Roque
81,3x3 Basketball (Basketball)
82,Skateboarding (Roller Sports)
83,Mixed Sports
84,Rugby Sevens (Rugby)
85,Hockey 5s
86,Ballooning (Air Sports)
87,Ski Mountaineering
88,3-on-3 Ice Hockey (Ice Hockey)
89,Karate
90,Surfing
91,Cycling BMX Freestyle (Cycling)
92,Sport Climbing
93,Roller Skating (Roller Sports)
