ID,SEASON,YEAR
1,Summer,1912
2,Summer,1920
3,Summer,1996
4,Summer,1924
5,Summer,1992
6,Summer,2000
7,Summer,2004
8,Summer,2008
9,Summer,1900
10,Unknown,1906
11,Summer,1908
12,Summer,1896
13,Summer,1984
14,Summer,1988
15,Summer,1904
16,Summer,2012
17,Summer,2016
18,Summer,1976
19,Summer,1972
20,Summer,1980
21,Summer,1928
22,Summer,2020
23,Summer,1968
24,Summer,1956
25,Summer,1952
26,Summer,1960
27,Summer,1964
28,Summer,1948
29,Summer,1932
30,Summer,1936
31,Winter,1932
32,Unknown,1956
33,Winter,1948
34,Winter,1924
35,Winter,1928
36,Winter,2002
37,Winter,2006
38,Winter,2010
39,Winter,1964
40,Winter,1952
41,Winter,1936
42,Winter,1992
43,Winter,1994
44,Winter,1998
45,Winter,1956
46,Unknown,1888
47,Winter,1988
48,Winter,1976
49,Winter,1972
50,Winter,1984
51,Winter,1980
52,Winter,1968
53,Winter,1960
54,Winter,2014
55,Winter,2018
56,Winter,2022
57,Summer,2010
58,Summer,2014
59,Winter,2012
60,Winter,2016
61,Summer,2018
62,Winter,2020
