ID,NOMBRE,ID_DEPORTE
1,Singles,1
2,Doubles,1
3,Singles,2
4,Doubles,2
5,"Singles, Handicap",1
6,"Doubles, Handicap",1
7,"Épée, Individual",3
8,Tennis,3
9,Doubles,3
10,"Doubles, Handicap",3
11,"Singles, Handicap",3
12,"Doubles, Covered Courts",1
13,"Singles, Covered Courts",1
14,Polo,1
15,Singles,4
16,Doubles,4
17,Team,2
18,Hockey,5
19,Tennis,5
20,Singles,5
21,Doubles,5
22,100 metres,6
23,400 metres,6
24,800 metres,6
25,110 metres Hurdles,6
26,High Jump,6
27,Pole Vault,6
28,Long Jump,6
29,Triple Jump,6
30,Tennis,6
31,Singles,6
32,Doubles,6
33,Swimming (Aquatics),1
34,100 metres Freestyle,1
35,500 metres Freestyle,1
36,"1,200 metres Freestyle",1
37,"Architecture, Open",7
38,Weightlifting,1
39,"Unlimited, Two Hands",1
40,Wrestling,1
41,"Unlimited Class, Greco-Roman",1
42,Athletics,1
43,Pole Vault,1
44,Long Jump,1
45,Shot Put,1
46,Individual,8
47,Team,8
48,Individual,9
49,Team,9
50,"Target Archery, 28 metres, Team",9
51,"Target Archery, 33 metres, Team",9
52,"Target Archery, 50 metres, Team",9
53,"Pole Archery, Small Birds, Individual",9
54,"Pole Archery, Large Birds, Individual",9
55,"Pole Archery, Small Birds, Team",9
56,"Pole Archery, Large Birds, Team",9
57,Sur La Perche À La Herse,9
58,"Au Chapelet, 33 metres",9
59,"Au Chapelet, 50 metres",9
60,"Au Cordon Doré, 33 metres",9
61,"Au Cordon Doré, 50 metres",9
62,Championnat Du Monde,9
63,"Target Archery, 28 metres, Individual",9
64,"Target Archery, 33 metres, Individual",9
65,"Target Archery, 50 metres, Individual",9
66,Continental Style,9
67,Double York Round,9
68,Sur La Perche À La Pyramide,9
69,"French Championship, Individual",9
70,Double National Round,9
71,"1,500 metres",6
72,Marathon,6
73,Welterweight,10
74,Light-Heavyweight,10
75,Featherweight,10
76,Light-Welterweight,10
77,Flyweight,10
78,Lightweight,10
79,Heavyweight,10
80,Bantamweight,10
81,Light-Flyweight,10
82,Middleweight,10
83,Light-Middleweight,10
84,Super-Heavyweight,10
85,Softball,11
86,Baseball,12
87,Double Columbia Round,9
88,Team Round,9
89,Flight Shooting,9
90,Double American Round,9
91,"8 metres, Open",13
92,Tennis,13
93,Singles,13
94,Doubles,13
95,"Singles, Covered Courts",13
96,"Doubles, Covered Courts",13
97,"Painting, Unknown Event, Open",7
98,Individual,14
99,Tennis,14
100,Doubles,14
101,Team,14
102,Singles,14
103,"Individual, Handicap",14
104,"Doubles, Handicap",14
105,"Singles, Handicap",14
106,Singles,15
107,"Long Jump, Handicap",1
108,Golf,1
109,Individual,1
110,Basketball,16
111,"Road Race, Individual",17
112,Handball,18
113,Australian Rules Football,19
114,"One Person Dinghy, Open",13
115,Decathlon,6
116,Four,20
117,Football (Football),10
118,Football,10
119,Athletics,10
120,100 yards,10
121,440 yards,10
122,"100 yards, Handicap",10
123,"220 yards, Handicap",10
124,"440 yards, Handicap",10
125,"Kayak Doubles, 500 metres",21
126,"Kayak Singles, 500 metres",21
127,"Kayak Fours, 1,000 metres",21
128,"Kayak Doubles, 1,000 metres",21
129,"Kayak Singles, 1,000 metres",21
130,"Kayak Singles, Slalom",22
131,"Kayak Fours, 500 metres",21
132,"Kayak Singles, 10,000 metres",23
133,"Canadian Singles, Slalom",22
134,Canoe Marathon (Canoeing),21
135,"Kayak Doubles, 10,000 metres",21
136,"Kayak Relay, 4 × 500 metres",21
137,"Canadian Doubles, Slalom",22
138,"Canadian Singles, 1,000 metres",21
139,"Canadian Singles, 10,000 metres",21
140,"Canadian Doubles, 1,000 metres",21
141,"Canadian Doubles, 10,000 metres",21
142,"Folding Kayak Doubles, 10,000 metres",21
143,"Folding Kayak Singles, 10,000 metres",21
144,"Kayak Doubles, 10,000 metres",23
145,"Kayak Singles, 10,000 metres",21
146,"Folding Kayak Singles, 10,000 metres",23
147,"Folding Kayak Doubles, 10,000 metres",23
148,"Canadian Singles, 500 metres",21
149,"Canadian Doubles, 500 metres",21
150,"Small-Bore Rifle, Prone, 50 metres, Open",24
151,"Canadian Doubles, 10,000 metres",23
152,"Canadian Singles, 10,000 metres",23
153,Single Sculls,25
154,"Team Pursuit, 4,000 metres",26
155,"Road Race, Team",17
156,100 kilometres Team Time Trial,17
157,Polo,27
158,Rugby,28
159,Eights,25
160,"Individual, Open",29
161,"Team, Open",29
162,"Team, Open",30
163,"Individual, Open",30
164,"Individual, Open",31
165,"Team, Open",31
166,Tug-Of-War,32
167,Lacrosse,33
168,"Hacks and Hunter Combined, Open",29
169,Springboard,34
170,Individual,31
171,Team,31
172,Individual,30
173,Team,30
174,Individual,29
175,Team,29
176,Equestrian Eventing (Equestrian),31
177,Winter Pentathlon,35
178,Equestrian Eventing (Equestrian),29
179,Individual,36
180,Team,36
181,"Four-In-Hand Competition, Open",37
182,Equestrian Dressage (Equestrian),31
183,"Sabre, Team",3
184,Equestrian Eventing (Equestrian),3
185,Individual,3
186,Team,3
187,"Long Jump, Open",31
188,"Hacks and Hunter Combined, Open",31
189,"High Jump, Open",31
190,Equestrian Eventing (Equestrian),8
191,Equestrian Driving (Equestrian),31
192,"Four-In-Hand Competition, Open",31
193,Equestrian Driving (Equestrian),29
194,"Four-In-Hand Competition, Open",29
195,Four/Five,20
196,"Sabre, Individual",3
197,20 kilometres,26
198,"Individual Pursuit, 4,000 metres",26
199,Sprint,26
200,Cycling Track (Cycling),17
201,Sprint,17
202,"1,000 metres Time Trial",17
203,Points Race,17
204,Cycling Mountain Bike (Cycling),17
205,Cross-Country,17
206,Cross-Country,38
207,Individual Pursuit,26
208,Points Race,26
209,Individual Time Trial,17
210,Individual Pursuit,17
211,Team Pursuit,17
212,500 metres Time Trial,26
213,Two,20
214,"3,000 metres",6
215,"3,000 metres",39
216,"5,000 metres",39
217,Team Pursuit (6 laps),39
218,Keirin,26
219,Team Sprint,26
220,"Individual Pursuit, 4,000 metres",17
221,"1,000 metres Time Trial",26
222,Madison,26
223,50 kilometres,26
224,"Team Pursuit, 4,000 metres",17
225,"Tandem Sprint, 2,000 metres",26
226,"Team Pursuit, 1,980 yards",26
227,"5,000 metres",26
228,100 kilometres,26
229,¼ mile,26
230,½ mile,26
231,5 miles,26
232,25 miles,26
233,"½ mile, Handicap",26
234,333⅓ metres Time Trial,17
235,100 kilometres,17
236,⅓ mile,26
237,1 mile,26
238,2 miles,26
239,"1 mile, Novice",26
240,"Tandem Sprint, 2,000 metres",17
241,333⅓ metres Time Trial,26
242,50 kilometres,17
243,Madison,17
244,Omnium,26
245,25 kilometres,26
246,Football,40
247,Cycling Track (Cycling),40
248,Sprint,40
249,Coxed Pairs (1 kilometre),25
250,Coxed Pairs (1 mile),25
251,Coxed Fours,25
252,Cycling Track (Cycling),25
253,Sprint,25
254,"5,000 metres",25
255,"10,000 metres",17
256,"1 mile, Handicap",26
257,"5 miles, Handicap",26
258,"5,000 metres",17
259,12-Hours Race,17
260,20 kilometres,17
261,12-Hours Race,26
262,Bicycle Polo,41
263,Athletics,17
264,4 × 100 metres Relay,17
265,18 kilometres,42
266,50 kilometres,42
267,Cycling Road (Cycling),3
268,"Road Race, Individual",3
269,Cycling Track (Cycling),3
270,333⅓ metres Time Trial,3
271,"10,000 metres",3
272,100 kilometres,3
273,12-Hours Race,3
274,4 × 400 metres Relay,6
275,Singles,43
276,Cricket,44
277,"Singles, One Ball, Open",45
278,"Doubles, Open",45
279,"Singles, Two Balls, Open",45
280,"Singles, Two Balls, Handicap",45
281,"A-Class (Open), Open",46
282,Tug-Of-War,28
283,Athletics,28
284,200 metres Hurdles,28
285,Discus Throw,28
286,Athletics,32
287,"Shot Put, Handicap",32
288,"Foil, Individual",3
289,"B-Class (Under 60 feet), Open",46
290,"C-Class, Open",46
291,Doubles,43
292,Racquets,15
293,Doubles,15
294,Wrestling,32
295,"Heavyweight, Greco-Roman",32
296,"Heavyweight, Freestyle",32
297,Tug-Of-War,10
298,100 metres,28
299,400 metres,28
300,Weightlifting,32
301,"Unlimited, Two Hands",32
302,Shot Put,6
303,Discus Throw,6
304,"Discus Throw, Greek Style",6
305,Pentathlon (Ancient),6
306,Weightlifting,6
307,"Unlimited, Two Hands",6
308,Driving Contest,14
309,Putting Contest,14
310,56-pound Weight Throw,32
311,"Shot Put, Handicap",6
312,Tug-Of-War,6
313,"Lightweight, Freestyle",32
314,"High Jump, Handicap",6
315,All-Around Dumbbell Contest,32
316,56-pound Weight Throw,6
317,Hammer Throw,6
318,"Discus Throw, Handicap",6
319,"Hammer Throw, Handicap",6
320,Javelin Throw,6
321,"Javelin Throw, Both Hands",6
322,4 × 100 metres Relay,6
323,Hockey,6
324,Athletics,5
325,"3,000 metres Steeplechase",5
326,"Foil, Team",3
327,"Épée, Team",3
328,100 metres Freestyle,47
329,500 metres Freestyle,47
330,"Sabre, Individual, Three Hits",3
331,"Sabre, Masters, Individual",3
332,Modern Pentathlon,3
333,"Foil, Individual, Open)",3
334,400 metres Freestyle,47
335,Water Polo (Aquatics),47
336,Water Polo,47
337,Water Polo (Aquatics),3
338,Water Polo,3
339,Hockey,3
340,Ice Hockey,48
341,"Foil, Masters, Individual",3
342,"Épée, Masters, Individual",3
343,"Épée, Masters and Amateurs, Individual",3
344,25 kilometres,3
345,"Literature, Open",7
346,"Free Pistol, 50 yards",24
347,"Small-Bore Rifle, 50 and 100 yards, Team",24
348,Athletics,3
349,"100 metres, Professionals",3
350,"400 metres, Professionals",3
351,"110 metres Hurdles, Professionals",3
352,"High Jump, Professionals",3
353,"Long Jump, Professionals",3
354,"Shot Put, Professionals",3
355,"100 metres, Professionals, Handicap",3
356,"400 metres, Professionals, Handicap",3
357,"High Jump, Professionals, Handicap",3
358,"Long Jump, Professionals, Handicap",3
359,"Shot Put, Professionals, Handicap",3
360,Rowing,3
361,Eights,3
362,"Painting, Paintings, Open",7
363,Shooting,3
364,"Dueling Pistol Au Commandement, 25 metres",3
365,"Dueling Pistol, 30 metres, Team",3
366,Swimming (Aquatics),3
367,100 metres Freestyle,3
368,Fencing,3
369,"Trap, Team",24
370,"Three Person Keelboat, Open",13
371,Fencing,8
372,"Épée, Team",8
373,"Painting, Drawings And Water Colors, Open",7
374,"Painting, Graphic Arts, Open",7
375,"Painting, Applied Arts, Open",7
376,Art Competitions,3
377,"Painting, Graphic Arts, Open",3
378,"Sabre, Individual",8
379,"Foil, Individual, Boys)",3
380,"Single Sticks, Individual",3
381,200 metres,6
382,Platform,34
383,Synchronized Platform,34
384,Athletics,40
385,110 metres Hurdles,40
386,Bandy,49
387,120 yards Hurdles,40
388,"440 yards, Boys)",40
389,Individual All-Around,50
390,Floor Exercise,50
391,Horse Vault,50
392,Uneven Bars,50
393,Balance Beam,50
394,Team All-Around,50
395,Individual,51
396,Team Portable Apparatus,50
397,Group,51
398,Parallel Bars,50
399,Horizontal Bar,50
400,Rings,50
401,Pommelled Horse,50
402,"Individual All-Around, Field Sports",50
403,"Individual All-Around, Apparatus Work",50
404,"Team All-Around, Swedish System",50
405,Featherweight,52
406,"Team All-Around, Free System",50
407,Rope Climbing,50
408,Side Horse,50
409,"6 metres, Open",13
410,Artistic Gymnastics (Gymnastics),40
411,"Team All-Around, Free System",40
412,"Architecture, Open)",7
413,"Free Rifle, Three Positions, 300 metres",24
414,"Free Rifle, Three Positions, 300 metres, Team",24
415,"Military Rifle, Prone, 300 metres, Team",24
416,"Military Rifle, Prone, 600 metres",24
417,"Military Rifle, Prone, 600 metres, Team",24
418,"Military Rifle, Standing, 300 metres",24
419,"Military Rifle, Standing, 300 metres, Team",24
420,"Military Rifle, Prone, 300 and 600 metres, Team",24
421,"Running Target, Single Shot, Team",24
422,"Running Target, Double Shot, Team",24
423,"Running Target, Single Shot",24
424,"Running Target, Double Shot",24
425,"26th Federal Festival, Society and Association Contests, Non-Simultaneous, National Championships",50
426,"Individual All-Around, 5 Events",50
427,"Festival for Societies of the Seine, Artistic, Individual",50
428,"Festival for Societies of the Seine, Individual (#2)",50
429,"Festival for Societies of the Seine, Advanced",50
430,"Lightweight, Greco-Roman",53
431,"Parallel Bars, Teams",50
432,"Horizontal Bar, Teams",50
433,Athletics,50
434,High Jump,50
435,Shot Put,50
436,100 metres,50
437,Pole Vault,50
438,Long Jump,50
439,Triple Jump,50
440,Artistic Gymnastics (Gymnastics),6
441,Rope Climbing,6
442,Standing Long Jump,6
443,Individual All-Around,6
444,"Individual All-Around, 5 Events",6
445,Team All-Around,6
446,Cycling Road (Cycling),50
447,"Road Race, Individual",50
448,Shooting,50
449,"Military Pistol, 25 metres",50
450,"Military Rifle, 200 metres",50
451,Tumbling,50
452,Decathlon,50
453,Club Swinging,50
454,Plain High,34
455,Artistic Gymnastics (Gymnastics),34
456,"Team All-Around, Free System",34
457,Standing Long Jump,50
458,Javelin Throw,50
459,Standing High Jump,6
460,400 metres,50
461,Discus Throw,50
462,"Javelin Throw, Freestyle",32
463,Fencing,50
464,"Sabre, Individual",50
465,110 metres Hurdles,50
466,Tug-Of-War,34
467,Artistic Gymnastics (Gymnastics),3
468,Team All-Around,3
469,"Individual All-Around, 4 Events",50
470,Combined,54
471,Cross Country Skiing (Skiing),54
472,4 × 10 kilometres Relay,54
473,Half-Middleweight,55
474,Lightweight,55
475,Heavyweight,55
476,Half-Heavyweight,55
477,Extra-Lightweight,55
478,Middleweight,55
479,Half-Lightweight,55
480,"Heavyweight, Freestyle",53
481,Open Class,55
482,"Welterweight, Greco-Roman",53
483,"Welterweight, Freestyle",53
484,Shooting,8
485,"Rapid-Fire Pistol, 25 metres",8
486,Military Ski Patrol,56
487,"Sabre, Team",8
488,Individual,57
489,"Épée, Individual",8
490,Athletics,8
491,Pole Vault,8
492,Swimming (Aquatics),8
493,200 metres Breaststroke,8
494,400 metres Breaststroke,8
495,"Rapid-Fire Pistol, 25 metres",24
496,Modern Pentathlon,31
497,Double Sculls,25
498,Coxless Pairs,25
499,Lightweight Double Sculls,25
500,Coxless Fours,25
501,Coxed Pairs,25
502,Quadruple Sculls,25
503,Lightweight Coxless Fours,25
504,"Coxed Fours, Outriggers",25
505,"Coxless Fours, Boys)",25
506,"Eights, Boys)",25
507,Rowing,10
508,Eights,10
509,"Coxless Pairs, Boys)",25
510,"Literature, Lyric Works, Open",7
511,Water Polo,58
512,Water Polo (Aquatics),25
513,Water Polo,25
514,Coxed Quadruple Sculls,25
515,"Coxed Fours, Inriggers",25
516,Savate,59
517,"Single Sculls, Association",25
518,200 metres Breaststroke,47
519,"Sculpturing, Medals And Reliefs, Open",7
520,"Sculpturing, Statues, Open",7
521,"Sculpturing, Unknown Event, Open",7
522,Art Competitions,25
523,"Painting, Graphic Arts, Open",25
524,"Coxless Fours, Intermediate",25
525,"Coxless Pairs, Intermediate",25
526,"Two Person Keelboat, Open",13
527,"Double Sculls, Intermediate",25
528,"Eights, Intermediate",25
529,"Air Rifle, 10 metres",24
530,"Trap, Open",24
531,Trap,24
532,Double Trap,24
533,"Air Pistol, 10 metres",24
534,"Sporting Pistol, 25 metres",24
535,"Free Pistol, 50 metres, Open",24
536,"Small-Bore Rifle, Three Positions, 50 metres",24
537,"Free Pistol, 50 metres",24
538,"Small-Bore Rifle, Prone, 50 metres",24
539,"Rapid-Fire Pistol, 25 metres, Open",24
540,"Small-Bore Rifle, Three Positions, 50 metres, Open",24
541,Skeet,24
542,"Running Target, 50 metres, Open",24
543,"Skeet, Open",24
544,"Running Target, Single and Double Shot",24
545,"Small-Bore Rifle, Prone, 50 and 100 yards",24
546,"Small-Bore Rifle, Disappearing Target, 25 yards",24
547,"Small-Bore Rifle, Moving Target, 25 yards",24
548,"Running Target, 50 metres",24
549,"Running Target, 10 metres",24
550,1 mile Freestyle,47
551,4 × 250 metres Freestyle Relay,47
552,"Free Pistol, 50 metres",8
553,"Dueling Pistol, 30 metres",8
554,"Military Rifle, Three Positions, 300 metres",24
555,"Military Rifle, Any Position, 600 metres",24
556,"Dueling Pistol, 30 metres",24
557,"Military Revolver, 1873-1874 Gras Model, 20 metres",24
558,"Military Revolver, 20 metres",24
559,Dueling Pistol Au Visé 20 metres,24
560,"Dueling Pistol Au Commandement, 25 metres",24
561,"Free Rifle, Any Position, 300 metres",24
562,"Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",24
563,"Military Rifle, Kneeling Or Standing, 300 metres",24
564,"Free Pistol, 50 metres, Team",24
565,"Free Rifle, Prone, 600 metres",24
566,"Free Rifle, 400, 600 and 800 metres, Team",24
567,"Small-Bore Rifle, Standing, 50 metres",24
568,"Smal-Bore Rifle, Standing, 50 metres, Team",24
569,"Military Pistol, Team",24
570,"Free Rifle, Kneeling, 300 metres",24
571,"Free Rifle, Prone, 300 metres",24
572,"Free Rifle, Standing, 300 metres",24
573,"Free Pistol, 50 yards, Team",24
574,"Military Pistol, 30 metres",24
575,"Free Rifle, 1,000 yards",24
576,"Military Rifle, 200/500/600/800/900/1,000 yards, Team",24
577,"Free Rifle, Three Positions, 300 metres, Open",24
578,"Military Rifle, Prone, 300 metres",24
579,"Military Rifle, 200, 400, 500 and 600 metres, Team",24
580,"Small-Bore Rifle, Prone, 50 metres, Team",24
581,"Small-Bore Rifle, Any Position, 50 metres",24
582,"Small-Bore Rifle, Disappearing Target, 25 metres",24
583,Shooting,6
584,"Free Rifle, Any Position, 300 metres",6
585,"Military Rifle, 200 metres",6
586,"Unlimited, One Hand",6
587,"Rapid-Fire Pistol, 25 metres",3
588,Skeleton,60
589,"Free Pistol, 25 metres",24
